"demo_variable","NUM_PEOP_TEST","NUM_PEOP_POS","PERCENT_POSITIVE","TEST_RATE"
"BoroA_Bronx","441,253","160,926","36.5%","31,113.441"
"BoroB_Brooklyn","959,956","342,399","35.7%","37,499.702"
"BoroC_Manhattan","634,633","169,300","26.7%","38,965.473"
"BoroD_Queens","904,965","328,099","36.3%","40,151.82"
"BoroE_Staten_Island","164,922","52,555","31.9%","34,637.073"
