Intellectual property right :Country profiles

Indicator :1 - Country profiles

Source: WIPO statistics database. Last updated: November 2025

Origin,Origin (Code),Office,Statistics,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"United States of America","US","Total","1.1 - Patent - Total patent applications","62661","63148","63981","60148","62649","64363","65768","68546","75402","82603","90931","88160","92686","105208","173841","191765","185345","214866","246956","267303","277996","292040","293761","293287","325299","373034","391795","422714","416522","396022","434418","441979","466937","493350","503456","526776","520766","522884","513757","527837","503348","520626","527057","521382","503265",
